ProbeName	groundControl	sim1G	spaceFlight
A_12_P130200	1931.6065564814817	2305.559245277778	2186.6131462962962
A_12_P108199	2900.575449259259	3985.464848888889	1695.7160555555558
A_12_P167199	41.16670657407407	47.937155	46.20862870370371
A_12_P103369	344.47707787037035	356.5363472222222	385.1484169444445
A_12_P118793	11409.386586111112	12099.857472222224	11669.54313888889
A_12_P132360	154.3638151851852	183.79740231481478	180.0813342592592
A_12_P179189	113.53514231481482	45.45487555555556	54.145031388888896
A_12_P180697	39.311873148148145	51.17602351851853	46.679761574074085
A_12_P103716	34.497180555555545	33.33855851851852	33.49500546296296
A_12_P160997	9959.59911111111	12220.815722222223	10956.567037037037
A_12_P100320	501.56529722222217	622.7622101851852	324.7846612962963
A_12_P172494	4249.219007407408	5402.512650000001	5043.075222222222
A_12_P113156	1114.5068564814812	1835.8954222222226	1853.6009231481482
A_12_P101453	2194.374702222222	150.7361547222222	634.4952133333335
A_12_P102719	44.600931018518516	49.38981768518519	50.24244000000001
A_12_P141505	1044.7593789814816	1399.4944990740742	1232.3686430555556
A_12_P112292	46.74422407407408	41.557837777777785	44.19207990740741
RC3	28.755956203703708	28.753666759259257	28.994445
A_12_P100141	174.97928601851854	255.16661518518518	236.79146203703704
A_12_P137620	3741.695208333333	3771.9042629629635	3595.154776851852
A_12_P101808	2523.145666666667	2826.324324074074	2804.5348527777774
A_12_P106783	39.443098148148145	33.724854722222226	32.59571944444445
A_12_P150150	4372.997201851852	4930.255694444445	4962.876925925925
A_12_P167709	502.05794722222225	496.6637527777778	482.4006844444445
A_12_P148095	883.0578712962962	603.3639990740741	716.5399648148147
A_12_P101874	79.13655351851851	92.68158435185187	87.04638537037037
A_12_P139400	1205.2873888888887	1073.388359259259	1088.6928009259257
A_12_P117222	42.65124046296297	41.357154074074074	40.67527537037037
A_12_P166219	4930.97509712963	4990.739435185185	5303.478759259259
A_12_P177100	49.52377027777778	44.313998425925924	45.99472694444444
A_12_P163270	970.7753074074075	1031.4004194444444	1178.802524074074
A_12_P107128	45.69153907407408	38.16917379629629	37.18169944444445
A_12_P166934	9117.368175925925	8564.060738888887	8431.261925925926
A_12_P131717	1406.9845212962964	1577.5812962962966	1571.458446296296
A_12_P105386	129.29230203703705	127.42439546296298	87.80110101851852
A_12_P133461	35.72384675925927	34.49835722222222	36.054843796296296
A_12_P139065	1676.8111722222227	1873.490592592593	1963.1323268518518
A_12_P116493	2548.4961846296296	2367.3912064814813	2407.3928453703707
A_12_P113880	32.64010000000001	32.62150972222222	32.98747120370371
A_12_P163403	32.744759629629634	36.177844907407405	34.42430555555557
A_12_P101260	828.1445657407407	735.5893907407408	769.688274074074
A_12_P178941	130509.92898148147	112152.53361111111	116048.10851851852
(+)E1A_r60_n11	19580.40363888889	18448.579120370367	20283.812342592595
A_12_P181170	55.29515648148149	66.50627916666667	71.6590474074074
A_12_P104400	79.5566774074074	108.88719064814813	61.64606657407408
A_12_P118473	1946.8010759259257	1176.8413968518519	1474.0484027777777
A_12_P174674	469.3193787037039	528.2123138888888	524.4809583333333
A_12_P157790	1436.0055583333333	1200.492514351852	1299.4129564814818
(-)3xSLv1	30.894290833333333	28.621193333333334	29.47739537037037
A_12_P176491	31.63415231481481	30.61880611111111	30.751601481481483
A_12_P173323	85.64041481481479	98.70532842592593	71.20292740740742
A_12_P163244	653.9628574074073	518.3650398148148	603.0067935185185
A_12_P156100	133.15192009259263	137.98443027777776	175.55039407407403
A_12_P116205	4384.985702777778	4579.405231481483	4407.867166666667
A_12_P108433	1493.6902009259263	1472.948402777778	1472.7366092592592
A_12_P103807	11248.747657407408	11859.570194444446	12698.430444444444
A_12_P140013	1510.9288796296296	1461.276301851852	1531.0404675925922
A_12_P139536	2479.4430259259257	1887.8747157407413	2349.7052870370367
A_12_P145415	39.88613546296296	38.12283981481482	38.388305092592596
A_12_P113028	45.00319287037038	40.72263342592593	40.66285222222222
A_12_P115147	333.21253648148144	454.89735555555563	501.15909074074074
A_12_P113996	1633.7958703703705	1610.3786564814816	1612.211239814815
A_12_P101269	605.5246879629631	642.5884138888888	629.1191314814815
A_12_P132692	38378.55814814815	34756.65465740741	35661.597935185186
A_12_P161993	54.406020740740736	51.40626546296298	52.731119814814825
A_12_P153161	137594.79805555556	129941.06342592591	134027.19907407407
A_12_P160588	58.138446574074074	72.81700972222224	77.38329037037037
A_12_P100250	3096.8927972222214	3964.9877500000002	4001.1759537037037
A_12_P117138	15732.169407407406	20994.565459259262	11725.638624999998
A_12_P107264	39.43085064814815	35.28607277777778	36.38809768518519
A_12_P113044	107370.13351851853	110002.64648148148	107176.3236111111
A_12_P170061	201.65783527777776	300.67166601851847	205.68722814814814
A_12_P152945	46.23117250000001	53.730599074074085	47.634053425925934
A_12_P140058	326.5657366666666	313.2444660185185	289.94023
A_12_P155195	1703.9944175925928	1723.9916953703703	1612.6853194444445
A_12_P116231	1723.5430509259256	2240.7176588888888	2152.859516666667
A_12_P118415	2998.9990851851853	3141.9627907407407	3637.3913212962966
A_12_P150495	11947.955157407407	12935.73260185185	13012.59599074074
A_12_P134577	8665.992231481481	6557.716888888888	6628.099879629629
A_12_P169673	43.955707314814816	42.004074074074076	42.04593592592592
A_12_P179215	127.27114731481481	80.03748361111113	104.51964259259258
A_12_P114415	3905.2805925925927	4184.763657407407	4024.455652777778
A_12_P167800	59.16552416666667	53.41492509259259	54.01889203703704
A_12_P113712	10409.214980925926	10827.81177777778	11559.727787037036
A_12_P148880	3641.8231722222226	3931.299194444444	3822.6803490740735
A_12_P130886	121.97995851851853	108.56962148148148	135.95778916666669
A_12_P134610	78.82305138888889	80.82566138888889	66.65167046296297
A_12_P101454	196.9625616666667	216.35164796296297	280.90922472222223
A_12_P102084	90.59995231481481	115.51943805555557	137.70889601851852
A_12_P146660	96.90035712962963	73.5595961111111	88.7921663888889
A_12_P166669	3578.1660185185187	4114.255016666666	4121.346564814815
A_12_P146957	34.151031296296296	29.79797296296296	30.020918703703703
A_12_P116248	6844.084851851851	5688.255240740741	5703.391329629628
A_12_P163526	37.58333583333333	44.93717324074074	43.06108314814816
A_12_P174922	2076.3838063888893	2279.7206154629635	2042.9030083333334
A_12_P114152	3637.566398148148	3772.622560185185	3737.7206453703698
A_12_P133505	881.1228027777776	519.0830638888889	715.0453564814812
