ProbeName	groundControl	sim1G	spaceFlight
A_12_P107450	2502.2343888888886	801.9740138888887	1141.1211027777779
A_12_P111884	696.2137555555556	592.736563888889	532.6149111111112
A_12_P141362	1363.0474777777779	331.7043944444443	539.2119444444444
A_12_P117885	7435.210555555556	4211.758555555557	4141.9155833333325
A_12_P165785	76.89357000000001	50.20981805555554	62.26793777777779
A_12_P134030	1133.6511777777778	698.6912208333333	348.7412277777778
A_12_P102712	1518.3071666666665	545.9901944444443	621.5826638888889
A_12_P160222	48.276562222222225	29.855623888888886	31.58190972222222
A_12_P117021	2354.2308444444443	1834.9657416666664	1790.4258944444446
A_12_P100315	76.85860555555554	42.299667500000005	39.36712861111111
A_12_P160843	53.51140111111111	31.65132305555555	34.232463611111115
A_12_P150681	171.69267777777776	88.38203499999999	93.38679916666666
A_12_P119175	978.2997777777778	416.1743027777777	522.9298083333334
A_12_P151691	41.60235777777777	26.04707527777778	29.490665277777786
A_12_P102060	3597.1121111111115	1920.2360583333332	1913.7311055555558
A_12_P150200	288.9199888888889	142.9641169444444	146.99743666666663
A_12_P164854	50.51840333333333	32.62083666666667	35.10144222222222
A_12_P114295	8765.640666666666	4648.243833333334	4499.535166666667
A_12_P155730	1609.946888888889	835.0753138888889	902.1779861111114
A_12_P173888	401.35946666666666	227.30511083333337	196.02031555555556
A_12_P156245	393.4082777777778	265.8846875	142.81984972222224
A_12_P118697	6874.752	3864.8731388888887	3699.971138888888
A_12_P118306	193.8244888888889	109.15635888888889	135.96839916666667
A_12_P109561	38.62586888888889	25.222862777777777	28.690147222222215
A_12_P177070	415.4046888888889	282.67479055555555	141.68158444444444
A_12_P177899	3904.4356666666667	2469.666866666667	2305.5309361111117
A_12_P111951	2113.111666666666	861.1769083333334	874.3186055555556
A_12_P159770	2979.5865555555556	1488.4460722222223	1581.6126111111116
A_12_P181250	71.11511333333334	42.31724944444445	46.15452944444444
A_12_P144525	1535.6428	1002.0209416666668	1001.9040666666668
A_12_P152580	220.5914222222222	107.92850666666666	130.3155275
A_12_P117465	4356.764777777778	1609.9229166666667	1679.5827388888888
A_12_P134179	97664.67333333334	58130.45527777778	51075.99916666666
A_12_P173817	49.25739555555556	28.45423944444444	33.219849444444435
A_12_P164466	55.40345444444444	33.81335611111111	38.63198749999999
A_12_P155845	476.76520000000005	349.35799583333323	186.3190102777778
A_12_P116224	39.11773777777777	25.79971555555555	28.953962499999996
A_12_P101252	198.17523333333332	119.15202361111109	103.83452472222221
A_12_P100992	45.977986666666666	30.43972222222222	32.715737499999996
A_12_P104961	6201.808444444444	2001.9493027777778	2499.691558333334
A_12_P179135	49.57918333333333	35.727779722222216	38.34153527777778
A_12_P119616	82.5079188888889	63.82745305555555	69.55788777777778
A_12_P113601	2949.447333333334	1716.0610277777778	1627.2059305555556
A_12_P134322	58.914303333333336	46.0314636111111	52.40358222222223
A_12_P103160	51.02097111111111	27.541880555555554	33.200289166666686
A_12_P111261	63.49338888888888	41.094664722222234	42.91476527777778
A_12_P146001	328.57468888888883	196.3356766666667	189.93725777777775
A_12_P113719	45.64297444444444	25.026623333333333	31.012253333333337
A_12_P167164	50.647892222222225	32.10550527777778	35.00302249999999
A_12_P180007	537.4557555555555	280.7071583333334	281.5014747222222
A_12_P136400	51.29120666666667	31.89971972222222	35.544091666666674
A_12_P141317	7108.914111111111	4608.071416666667	4198.691555555556
A_12_P101161	2067.0476666666673	1117.9485916666667	1239.8113249999997
A_12_P153477	48.84716888888889	25.73388638888888	29.577077499999998
A_12_P132426	39.30945111111111	27.154982222222216	30.266961388888888
A_12_P111873	57.27303777777777	37.201834999999996	40.70111972222223
A_12_P164395	48.4627	29.849122499999996	33.50407666666667
A_12_P142137	57.23864888888889	36.36520055555556	37.9708313888889
A_12_P161608	780.0704555555556	432.8485027777779	471.7308722222223
A_12_P144482	47.10087777777778	29.679731666666676	32.07853833333334
A_12_P132026	1567.3511777777778	1128.9074416666665	690.9939916666667
A_12_P117467	40.843773333333324	24.858703888888883	28.35875
A_12_P179475	68.80166888888887	35.27240222222222	41.45018222222223
A_12_P118598	266.13225555555556	183.78438333333327	178.55482833333338
A_12_P171833	275.49192222222223	90.57782416666669	126.27949666666665
A_12_P164994	109.39901666666668	85.47545638888892	71.11454305555556
A_12_P119901	3326.721222222222	2388.7585361111114	2238.810330555555
A_12_P116188	428.0223111111111	315.7216305555555	212.3324783333333
A_12_P115007	1033.997222222222	606.7760777777778	617.1948916666665
A_12_P116992	480.4582555555555	262.67311388888885	249.7191694444445
A_12_P153901	71851.37666666665	50486.57555555555	39399.80055555554
